search URL:,https://patents.google.com/?q=autonomous+vehicle&country=US&after=priority:20120101
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link
US8712624B1,Positioning vehicles to improve quality of observations at intersections ,Google Inc.,"Dave Ferguson, Nathaniel Fairfield, Bradley Templeton",2012-04-06,2012-04-06,2014-04-29,2014-04-29,https://patents.google.com/patent/US8712624B1/en
US20140129073A1,Methods and Systems to Aid Autonomous Vehicles Driving Through a Lane Merge ,Google Inc.,David I. Ferguson,2012-11-06,2012-11-06,2014-05-08,,https://patents.google.com/patent/US20140129073A1/en
US20150070160A1,Method and arrangement for handover warning in a vehicle having autonomous driving capabilities ,Volvo Car Corporation,"Staffan Davidsson, Sicheng Chen",2013-09-12,2014-09-05,2015-03-12,,https://patents.google.com/patent/US20150070160A1/en
US20160137311A1,Aerial system and vehicle for continuous operation ,Aurora Flight Sciences Corporation,"James Peverill, Adam Woodworth, Benjamin Freudberg, Dan Cottrell, Terrence Mckenna",2013-03-14,2014-03-14,2016-05-19,,https://patents.google.com/patent/US20160137311A1/en
US20160026182A1,Personalized Driving of Autonomously Driven Vehicles ,Here Global B.V.,"Vladimir Boroditsky, Leon Oliver Stenneth, James Adeyemi Fowe, Gavril Adrian Giurgiu",2014-07-25,2014-07-25,2016-01-28,,https://patents.google.com/patent/US20160026182A1/en
US20160018822A1,Autonomous vehicle operation ,Helico Aerospace Industries Sia,"Ilja Nevdahs, Janis Spogis, Nils Trapans, Edgars Rozentals, Agris Kipurs",2014-07-18,2015-08-28,2016-01-21,,https://patents.google.com/patent/US20160018822A1/en
US20150202770A1,Sidewalk messaging of an autonomous robot ,"Anthony Patron, Youenn Colin, Blaise Bertrand, Vinh Pho, Raj Abhyanker","Anthony Patron, Youenn Colin, Blaise Bertrand, Vinh Pho, Raj Abhyanker",2014-01-17,2014-05-03,2015-07-23,,https://patents.google.com/patent/US20150202770A1/en
US20150177007A1,Autonomous driver assistance system and autonomous driving method thereof ,Automotive Research & Testing Center,"Yi-Feng Su, Ming-hung Li",2013-12-23,2013-12-23,2015-06-25,,https://patents.google.com/patent/US20150177007A1/en
US8595037B1,Systems and methods for insurance based on monitored characteristics of an autonomous drive mode selection system ,Elwha Llc,"Roderick A. Hyde, Jordin T. Kare, David B. Tuckerman",2012-05-08,2012-05-08,2013-11-26,2013-11-26,https://patents.google.com/patent/US8595037B1/en
US20140277896A1,Dual-state steering wheel/input device ,"Audi Ag, Volkswagen Ag","William Brian LATHROP, James Leigh TOGGWEILER, Erik Robert GLASER, Nathaniel Robert COSER, Bryan GRANT",2013-03-15,2013-06-11,2014-09-18,,https://patents.google.com/patent/US20140277896A1/en
US20150073589A1,Autonomous mobile picking ,Dematic Corp.,"Michael S. Khodl, David M. Berghorn, Todd S. Hunter",2013-09-09,2014-09-08,2015-03-12,,https://patents.google.com/patent/US20150073589A1/en
US20140121883A1,System And Method For Using Gestures In Autonomous Parking ,Robert Bosch Gmbh,"Zhongnan Shen, Fuliang Weng, Benno Albrecht",2012-10-30,2013-10-29,2014-05-01,,https://patents.google.com/patent/US20140121883A1/en
US20150170287A1,Insurance applications for autonomous vehicles ,The Travelers Indemnity Company,"Beth S. Tirone, Donna L. Glenn, Eileen P. Casey, Dean M. Collins",2013-12-18,2013-12-18,2015-06-18,,https://patents.google.com/patent/US20150170287A1/en
